pH,Chlorine,Turbidity,Conductivity,Alkalinity,Temperature,Colour,Total Dissolved Solids,Hardness
7.2675,1.0975000000000001,0.10850000000000001,59.075,9.524999999999999,15.15,44.5,29.549999999999997,23.6
7.19,1.15,0.138,57.7,6.5,15.3,38.0,28.8,25.4
7.48,0.96,0.103,57.8,7.2,15.4,38.0,28.9,25.8
7.02,1.15,0.154,59.6,7.0,15.5,37.0,29.8,24.4
7.23,1.09,0.11399999999999999,59.7,6.9,15.35,41.5,29.85,23.75
7.44,1.29,0.074,59.8,6.8,15.2,46.0,29.9,23.1
6.5,0.91,0.574,54.0,6.1,14.7,38.0,27.7,19.2
7.16,0.68,0.34349999999999997,49.0,6.05,14.8,38.0,24.85,20.35
7.82,1.25,0.113,44.0,6.0,14.9,38.0,22.0,21.5
7.17,1.25,0.206,53.4,6.1,15.3,41.0,26.7,19.7
7.1,0.92,0.372,64.2,7.3,15.5,40.0,32.1,22.2
7.26,1.1,0.331,67.0,7.9,15.4,45.0,33.5,24.3
7.38,1.01,0.35150000000000003,65.6,7.6,15.45,42.5,32.8,23.25
7.32,1.0550000000000002,0.34125000000000005,66.3,7.75,15.425,43.75,33.15,23.775
7.35,1.0325000000000002,0.34637500000000004,65.94999999999999,7.675,15.4375,43.125,32.974999999999994,23.5125
6.62,1.09,0.873,53.0,7.4,15.8,47.0,26.5,24.8
6.34,1.34,1.14,57.0,6.8,16.0,40.0,28.5,20.9
5.06,1.13,0.993,57.1,7.35,16.1,42.0,28.5,14.7
8.63,1.32,0.227,71.0,7.9,16.5,41.0,35.5,20.2
7.51,1.57,0.151,65.2,8.4,16.1,40.0,32.6,22.7
6.72,1.37,0.396,62.2,8.7,16.5,41.0,31.1,24.6
6.97,1.24,0.51,60.400000000000006,7.6,16.7,39.5,30.200000000000003,23.65
7.22,0.94,0.624,58.6,6.5,16.9,38.0,29.3,22.7
6.85,1.1,0.298,56.8,7.4,17.0,39.0,28.4,23.7
7.19,1.16,0.287,50.9,7.0,18.1,37.0,25.4,25.5
7.64,1.23,0.249,58.4,8.5,17.2,45.0,29.2,23.7
8.6,1.3,0.274,54.8,8.8,17.2,44.0,27.4,23.5
7.5,1.33,0.178,56.8,7.4,17.2,43.0,28.4,23.3
7.234999999999999,1.18,0.273,55.7,7.5,16.9,43.0,27.85,22.25
6.97,1.35,0.368,54.6,7.6,16.6,43.0,27.3,21.2
7.5,1.25,0.236,59.0,7.4,16.5,41.0,29.5,21.6
6.92,1.49,0.489,51.6,7.2,16.6,37.0,25.8,22.0
8.01,1.42,0.171,64.0,6.2,16.2,37.0,32.0,21.3
7.19,1.58,0.121,62.8,7.4,16.5,37.0,31.4,23.5
7.38,1.39,0.134,64.4,7.2,16.2,38.0,32.2,23.1
7.25,1.22,0.134,64.30000000000001,7.15,16.299999999999997,36.0,32.150000000000006,23.8
7.12,1.24,0.134,64.2,7.1,16.4,34.0,32.1,24.5
6.5,1.12,0.172,57.2,6.4,16.7,38.0,28.6,23.7
5.1,1.12,0.063,43.4,5.7,17.4,32.0,21.7,24.1
7.78,1.38,0.191,58.8,7.3,16.9,38.0,29.4,25.6
7.35,1.5,0.176,58.6,7.2,16.9,37.0,29.3,25.3
7.5649999999999995,1.44,0.1835,58.7,7.25,16.9,37.5,29.35,25.450000000000003
7.4575,1.47,0.17975,58.650000000000006,7.225,16.9,37.25,29.325000000000003,25.375
6.95,1.11,0.383,56.3,6.0,17.2,36.0,28.1,23.7
6.37,1.19,0.607,60.4,5.5,17.7,36.0,30.2,21.6
7.13,1.2,0.499,62.4,6.9,18.1,34.0,31.2,25.7
6.08,1.2,0.691,55.7,6.0,18.1,41.0,27.8,22.6
6.67,1.33,0.756,64.6,6.1,17.9,34.0,32.3,23.7
7.39,1.6,0.264,70.2,6.9,18.0,39.0,35.1,24.6
7.234999999999999,1.605,0.2345,70.1,8.15,18.05,38.0,35.05,27.950000000000003
7.08,1.61,0.205,70.0,9.4,18.1,37.0,35.0,31.3
7.06,1.41,0.158,69.0,8.4,18.2,38.0,34.5,24.5
7.39,1.361,0.109,70.2,8.1,18.1,42.0,35.1,23.8
7.31,1.36,0.087,63.2,7.3,18.0,43.0,31.6,24.3
6.24,1.33,0.079,58.8,7.0,17.9,41.0,29.4,24.9
8.64,1.15,0.224,82.1,8.2,18.2,35.0,40.8,26.4
7.865,1.125,0.1595,78.35,8.05,18.1,38.5,39.05,26.2
7.09,1.1,0.095,74.6,7.9,18.0,42.0,37.3,26.0
7.32,1.1,0.081,63.4,7.7,18.1,32.0,31.7,26.3
7.06,1.19,0.085,64.0,7.1,18.0,34.0,32.0,25.0
7.23,1.18,0.101,69.4,7.6,17.4,32.0,34.4,22.0
7.5,0.98,0.07,63.4,7.4,17.0,33.0,31.7,22.3
7.37,1.15,0.087,57.4,7.7,16.7,39.0,28.7,23.5
7.1899999999999995,1.055,0.0935,59.5,7.6,16.4,35.0,29.75,23.7
7.01,0.96,0.1,61.6,7.5,16.1,31.0,30.8,23.9
7.4,1.31,0.093,38.4,7.3,15.8,32.0,29.2,27.0
7.65,1.07,0.09,67.0,8.3,15.9,38.0,33.5,22.2
7.25,1.22,0.083,63.5,6.3,16.1,49.0,31.7,22.95
7.95,1.03,0.087,62.0,7.0,16.1,31.0,31.0,23.7
7.06,1.25,0.089,62.2,6.7,15.9,33.0,31.1,24.4
7.085,1.25,0.0895,62.6,7.050000000000001,15.600000000000001,32.5,31.3,24.0
7.11,1.21,0.09,63.0,7.4,15.3,32.0,31.5,23.6
7.31,1.31,0.109,60.4,8.3,15.2,37.0,30.2,25.5
7.6,1.07,0.116,62.8,8.1,15.0,35.0,31.4,24.6
7.45,1.02,0.124,62.6,8.2,15.0,37.0,31.3,23.6
7.02,0.99,0.091,62.0,7.8,14.9,36.0,31.0,23.9
6.8,1.08,0.106,61.8,8.3,14.8,35.0,30.9,25.0
7.29,1.09,0.11499999999999999,62.7,8.45,14.850000000000001,32.0,31.35,24.4
7.78,1.06,0.124,63.6,8.6,14.9,29.0,31.8,23.8
7.58,1.18,0.201,63.2,8.9,14.7,34.0,32.6,24.4
7.16,1.43,0.086,62.5,9.1,14.7,31.0,31.2,21.8
6.03,1.23,0.395,58.5,9.6,14.3,41.0,29.3,26.2
6.86,1.13,0.156,66.2,6.8,14.5,34.0,33.1,22.8
6.7,1.42,0.264,66.0,7.2,14.6,34.0,33.0,24.3
6.67,2.02,0.257,68.6,6.3,8.7,54.0,34.3,23.4
7.2,1.432,0.107,72.8,7.4,14.3,58.0,36.4,24.0
7.78,1.34,0.124,70.0,8.2,14.1,42.0,35.0,22.2
7.37,1.16,0.11,70.0,7.7,14.1,59.0,35.0,22.4
6.49,1.16,0.082,67.6,7.4,13.4,54.0,33.8,25.5
6.725,1.22,0.0905,65.9,7.25,13.2,47.5,32.95,23.85
6.96,1.28,0.099,64.2,7.1,13.0,41.0,32.1,22.2
6.73,1.21,0.254,63.5,7.1,13.0,44.0,31.75,21.2
6.5,1.14,0.409,62.8,7.1,13.0,47.0,31.4,20.2
7.09,0.98,0.732,56.2,7.1,12.5,53.0,28.1,21.4
7.31,1.07,0.279,53.8,5.3,12.0,35.0,26.9,22.2
6.27,0.91,0.13,49.8,7.4,11.8,38.0,24.9,23.6
7.0649999999999995,1.16,0.1115,56.2,7.6,11.8,35.0,28.1,24.450000000000003
7.86,1.15,0.093,62.6,7.8,11.8,32.0,31.3,25.3
7.885,1.32,0.10300000000000001,62.5,7.699999999999999,11.9,32.5,31.25,24.950000000000003
7.91,1.43,0.113,62.4,7.6,12.0,33.0,31.2,24.6
7.55,1.22,0.121,61.8,6.3,12.1,46.0,30.9,25.5
6.97,1.66,0.082,59.4,7.0,12.3,42.0,29.7,24.6
7.44,1.07,0.094,61.7,7.2,12.0,43.0,30.8,26.8
7.49,1.1,0.093,29.3,7.050000000000001,10.1,45.0,30.6,58.6
7.17,1.17,0.109,60.8,6.9,11.9,48.0,30.4,24.4
6.895,1.04,0.243,59.05,7.050000000000001,11.850000000000001,45.5,29.549999999999997,24.85
6.62,0.91,0.377,57.3,7.2,11.8,43.0,28.7,25.3
7.61,1.18,0.094,63.9,7.3,12.0,41.0,31.9,26.8
7.720000000000001,0.8799999999999999,0.471,59.55,7.15,11.2,45.5,29.75,26.85
7.83,0.58,0.848,55.2,7.0,10.4,50.0,27.6,26.9
7.94,0.9,0.171,61.2,7.4,10.0,48.0,30.6,25.8
7.31,1.3,0.098,61.4,6.9,9.6,49.0,30.7,24.9
7.3149999999999995,1.41,0.10250000000000001,62.099999999999994,6.7,9.5,61.5,31.049999999999997,23.549999999999997
7.32,1.82,0.107,62.8,6.5,9.4,74.0,31.4,22.2
7.02,1.97,0.239,64.6,7.4,8.7,51.0,32.3,22.5
7.17,1.895,0.173,63.699999999999996,6.95,9.05,62.5,31.849999999999998,22.35
7.095,1.9325,0.206,64.14999999999999,7.175000000000001,8.875,56.75,32.074999999999996,22.425
7.97,1.71,0.154,66.0,7.1,8.0,45.0,33.0,22.0
7.02,1.93,0.178,59.3,7.3,7.9,44.0,29.6,22.0
6.824999999999999,2.04,0.373,65.55,6.85,7.9,54.0,32.75,22.2
6.63,1.63,0.568,71.8,6.4,7.9,64.0,35.9,22.4
7.61,1.57,0.23,60.8,7.1,7.8,66.0,30.4,23.7
7.14,1.7,0.394,61.2,7.7,7.7,42.0,30.6,21.5
7.66,1.87,0.127,62.9,8.1,7.6,41.0,31.5,26.8
7.44,1.79,0.529,60.3,7.3,7.3,34.0,30.1,22.8
7.38,1.59,0.342,57.4,6.4,7.6,58.0,28.7,22.5
7.48,1.74,0.2905,56.7,6.65,7.5,49.5,28.35,22.7
7.58,1.89,0.239,56.0,6.9,7.4,41.0,28.0,22.9
7.7,2.0,0.165,59.6,6.6,7.8,28.0,29.8,24.1
7.1,1.89,0.374,56.4,6.2,7.7,34.0,28.2,24.8
7.38,1.82,0.164,58.4,6.8,7.3,29.0,29.2,26.7
6.9,1.17,0.346,53.8,6.6,8.2,74.0,26.9,25.9
7.28,1.86,0.415,54.2,6.9,7.4,44.0,27.1,24.8
7.235,1.68,0.27349999999999997,54.1,6.95,7.300000000000001,50.5,27.05,24.55
7.19,1.77,0.132,54.0,7.0,7.2,57.0,27.0,24.3
7.15,1.815,0.124,54.05,6.975,7.25,60.0,27.025,24.05
7.11,1.86,0.116,54.025,6.9875,7.225,63.0,27.0125,23.8
7.05,2.08,0.114,54.037499999999994,6.981249999999999,7.2375,60.0,27.018749999999997,24.65
7.02,2.09,0.112,54.03125,6.984375,7.231249999999999,44.0,27.015625,24.95
7.72,2.1,0.604,61.4,7.6,3.5,41.0,30.7,25.5
7.615,2.07,0.528,61.7,7.449999999999999,3.55,52.5,30.85,25.25
7.51,2.04,0.452,62.0,7.3,3.6,64.0,31.0,25.0
7.29,2.08,0.163,61.6,6.9,3.5,66.0,30.8,25.5
7.59,1.96,0.299,64.0,7.4,3.5,44.0,32.0,24.5
7.47,1.8,0.131,63.0,7.2,3.5,38.0,31.5,26.6
7.79,1.81,0.139,61.4,6.9,4.3,33.0,30.7,27.4
7.26,1.82,0.327,63.5,7.0,4.2,27.0,31.7,25.0
7.145,1.81,0.34550000000000003,59.4,6.55,3.85,33.5,29.7,24.45
7.03,1.8,0.364,55.3,6.1,3.5,40.0,27.7,23.9
7.22,1.86,0.178,63.2,6.5,7.0,39.0,31.7,26.8
7.42,1.89,0.239,64.0,6.2,6.7,30.0,32.0,27.5
7.09,1.92,0.252,57.6,5.7,3.7,54.0,28.8,23.8
7.4,1.99,0.138,55.8,6.7,3.2,72.0,27.9,24.2
7.64,2.05,0.113,60.4,7.2,2.7,81.0,30.2,23.8
7.47,2.03,0.1115,61.599999999999994,7.050000000000001,2.85,64.5,30.799999999999997,24.15
7.3,1.94,0.11,62.8,6.9,3.0,48.0,31.4,24.5
7.75,1.95,0.147,64.0,7.0,2.5,57.0,32.0,21.6
7.14,1.9,0.151,59.8,6.8,2.7,65.5,29.9,21.9
8.11,1.95,0.138,57.8,7.1,3.4,74.0,28.9,24.8
8.46,1.92,0.123,65.7,8.4,3.5,70.0,32.8,23.8
8.3,1.89,0.135,66.3,7.8,3.4,68.0,33.1,25.2
8.455,1.95,0.1305,68.35,7.85,3.5,71.0,34.150000000000006,25.549999999999997
8.61,1.89,0.126,70.4,7.9,3.6,74.0,35.2,25.9
8.68,1.76,0.124,66.8,7.2,3.6,68.0,33.4,24.6
8.12,1.85,0.082,67.3,7.8,3.7,60.0,33.6,25.7
7.79,1.9,0.086,67.3,7.8,3.7,68.0,33.6,23.9
7.38,1.9,0.102,64.2,7.7,3.7,57.0,32.1,26.3
6.94,1.87,0.092,61.4,6.4,4.1,69.0,30.7,23.1
6.6850000000000005,1.85,0.2,59.75,6.6,3.9,68.5,29.85,24.4
6.43,1.83,0.308,58.1,6.8,3.7,68.0,29.0,25.7
6.79,1.81,0.328,60.2,6.3,3.7,65.0,30.1,23.6
7.3,1.72,0.309,60.0,6.9,3.7,60.0,30.0,22.1
7.31,1.7,0.467,54.8,6.1,3.8,59.0,27.4,25.0
7.35,1.81,0.304,58.8,6.3,3.4,58.0,29.4,24.7
6.97,1.82,0.308,60.8,6.1,3.3,59.0,30.4,25.3
7.105,1.82,0.3265,64.2,6.300000000000001,3.25,39.5,32.1,22.9
7.09,1.86,0.337,61.4,6.2,3.4,55.0,30.7,25.0
7.12,1.87,0.316,67.0,6.4,3.1,24.0,33.5,20.8
7.43,1.87,0.267,65.0,6.1,3.0,54.0,32.4,21.3
7.24,1.93,0.154,66.2,6.3,3.1,53.0,33.1,22.0
7.36,1.99,0.17,67.5,7.3,3.0,48.0,33.8,21.0
7.2,1.97,0.256,64.4,7.1,3.1,51.0,32.2,21.5
7.1,1.97,0.3415,65.0,6.9,3.25,62.5,32.5,21.35
7.0,2.03,0.427,65.6,6.7,3.4,74.0,32.8,21.2
7.03,2.05,0.196,66.4,6.4,3.0,73.0,33.2,23.5
7.17,2.07,0.213,69.4,7.1,3.1,46.0,34.8,21.9
7.18,2.06,0.257,68.5,12.2,3.1,42.0,34.2,30.1
7.29,1.98,0.151,69.4,7.8,3.0,39.0,34.7,25.8
7.28,1.9,0.131,65.4,6.2,3.0,44.0,32.7,26.3
7.14,1.91,0.472,66.3,11.3,3.0,39.0,33.1,25.3
7.395,1.8900000000000001,0.345,66.0,10.75,3.0,38.5,32.95,25.9
7.65,1.87,0.218,65.7,10.2,3.0,38.0,32.8,26.5
7.35,1.8,0.35,65.8,9.9,2.7,36.0,32.9,26.1
7.47,1.79,0.273,66.8,7.6,2.8,34.0,33.4,26.8
7.18,1.72,0.496,65.2,7.1,3.1,37.0,32.6,25.8
7.35,1.84,0.394,68.4,7.4,3.1,35.0,34.2,24.6
7.225,1.85,0.4075,70.80000000000001,7.4,3.25,41.0,35.400000000000006,25.200000000000003
7.1,1.76,0.421,73.2,7.4,3.4,47.0,36.6,25.8
7.65,1.72,0.171,71.8,7.4,3.2,41.0,35.9,26.5
7.48,1.63,0.243,70.4,7.1,3.4,38.0,35.2,25.7
7.53,1.71,0.153,74.8,7.8,3.3,39.0,37.4,23.8
6.98,1.67,0.175,7.8,7.9,3.2,38.0,38.9,23.5
7.63,1.68,0.183,79.2,8.2,3.3,37.0,39.6,25.4
7.140000000000001,1.5499999999999998,0.1735,77.7,8.05,3.3499999999999996,42.5,38.85,25.0
6.65,1.42,0.164,76.2,7.9,3.4,48.0,38.1,24.6
7.13,1.48,0.143,77.6,6.7,3.2,46.0,38.8,25.4
6.890000000000001,1.45,0.1535,76.9,7.300000000000001,3.3,47.0,38.45,25.0
7.01,1.4649999999999999,0.14825,77.25,7.0,3.25,46.5,38.625,25.2
7.27,1.45,0.159,75.6,7.5,3.4,31.0,37.8,26.8
7.63,1.48,0.197,73.4,7.0,3.4,30.0,36.7,25.5
7.449999999999999,1.4649999999999999,0.178,74.5,7.25,3.4,30.5,37.25,26.15
6.58,1.38,0.363,70.8,9.2,3.2,33.0,35.4,24.0
7.39,1.46,0.441,69.2,8.7,3.5,29.0,34.7,24.7
7.23,1.47,0.305,69.8,8.2,3.6,28.0,34.9,24.0
7.46,1.5,0.429,68.2,7.0,3.3,32.0,34.1,26.8
7.8,1.48,0.365,65.8,7.3,4.0,33.0,32.9,25.8
7.63,1.51,0.197,67.0,6.9,3.65,42.0,33.5,25.1
7.715,1.43,0.281,66.4,7.1,3.825,37.5,33.2,25.450000000000003
7.672499999999999,1.42,0.23900000000000002,66.7,7.0,3.7375,42.0,33.35,25.275000000000002
7.69375,1.41,0.26,66.55000000000001,7.05,3.78125,33.0,33.275000000000006,25.362500000000004
7.76,1.3,0.476,71.6,12.3,3.759375,46.0,35.8,23.6
7.39,1.45,0.293,77.2,9.7,3.1,47.0,38.6,23.7
7.95,1.4,0.408,77.3,12.3,2.8,44.0,38.6,21.8
7.67,1.42,0.294,74.6,1.2,2.8,41.0,37.3,25.5
7.8100000000000005,1.41,0.351,75.94999999999999,6.75,2.8,42.5,37.95,23.65
7.33,1.38,0.812,70.4,7.5,2.7,47.0,35.2,25.1
7.69,1.49,0.176,72.8,11.5,2.8,37.0,36.4,25.7
8.05,1.41,0.269,71.2,11.5,2.9,34.0,35.5,33.9
7.5,1.42,0.225,70.3,11.3,3.0,36.0,35.1,29.6
6.67,1.46,0.339,66.2,12.1,3.1,44.0,33.1,28.6
7.44,1.47,0.315,69.0,10.5,3.2,30.0,34.5,27.3
7.055,1.4649999999999999,0.327,67.6,11.3,3.1500000000000004,37.0,33.8,27.950000000000003
7.3,1.4,0.322,67.8,10.3,2.9,37.0,34.5,29.0
7.6,1.35,0.184,68.0,10.7,2.9,38.0,33.9,29.2
5.79,1.31,0.114,68.2,8.1,2.9,31.0,34.1,27.8
7.63,1.35,0.194,69.4,9.9,2.8,36.0,34.7,28.2
7.54,1.33,0.355,68.6,9.3,3.0,37.0,34.3,26.9
7.23,1.21,0.203,68.4,8.7,3.0,39.0,34.2,26.0
7.385,1.27,0.279,68.5,9.0,3.0,38.0,34.25,26.45
7.11,1.29,0.247,65.2,7.7,3.1,39.0,32.6,25.4
7.23,1.28,0.193,56.4,7.2,3.1,35.0,28.2,26.3
6.77,1.33,0.33,71.4,7.1,3.0,44.0,35.2,25.7
6.69,1.35,0.224,73.0,6.8,3.1,45.0,36.5,23.9
6.91,1.43,0.237,70.9,8.2,3.2,44.0,35.4,25.7
7.27,1.51,0.273,74.7,12.0,3.0,31.0,37.3,25.2
7.09,1.49,0.255,72.80000000000001,10.1,3.1,37.5,36.349999999999994,25.45
7.11,1.43,0.302,73.8,9.1,3.1,39.0,36.9,25.8
6.76,1.42,0.229,74.6,9.8,3.2,46.0,37.3,25.2
7.04,1.36,0.197,74.8,11.3,3.3,40.0,37.4,28.9
7.09,1.33,0.246,74.8,11.6,3.3,39.0,37.3,26.0
7.36,1.18,0.486,70.2,10.4,3.4,43.0,35.1,24.7
7.49,1.29,0.417,76.2,7.8,3.6,54.0,38.1,25.3
7.425000000000001,1.2349999999999999,0.4515,73.2,9.1,3.5,48.5,36.6,25.0
7.64,1.35,0.16,74.0,11.8,3.7,38.0,37.0,34.2
5.92,1.34,0.066,50.2,3.7,3.8,37.0,25.1,27.7
7.06,1.25,0.431,53.8,8.2,3.8,40.0,26.9,27.0
5.61,1.26,0.122,54.4,6.4,3.8,41.0,27.2,28.7
6.68,1.38,0.525,58.8,5.9,4.1,44.0,29.4,27.5
6.145,1.3199999999999998,0.3235,56.599999999999994,6.15,3.9499999999999997,42.5,28.299999999999997,28.1
6.4125,1.31,0.42425,57.699999999999996,6.025,4.0249999999999995,43.25,28.849999999999998,27.8
7.0,1.37,0.412,64.8,6.0,4.1,45.0,32.4,25.3
7.7,1.41,0.17,57.4,7.7,4.3,51.0,28.7,23.6
7.63,1.4,0.154,60.4,8.4,4.4,43.0,30.2,23.7
7.53,1.45,0.17,78.0,8.2,4.2,50.0,39.0,26.8
7.67,1.44,0.179,71.6,10.2,4.2,28.0,35.7,25.5
8.0,1.42,0.189,78.6,13.6,4.2,28.0,39.2,29.0
7.835,1.43,0.184,75.1,11.899999999999999,4.2,28.0,37.45,27.25
7.29,1.37,0.192,82.4,12.7,4.1,39.0,41.4,25.1
7.5625,1.4,0.188,78.75,12.299999999999999,4.15,33.5,39.425,26.175
7.55,1.38,0.174,71.7,9.5,4.1,37.0,35.8,29.5
6.75,1.41,0.173,59.4,8.4,4.0,38.0,29.7,27.3
7.27,1.21,0.192,59.8,7.6,4.1,34.0,29.9,25.5
7.27,1.26,0.174,63.4,7.4,4.1,41.0,31.7,27.1
7.27,1.2349999999999999,0.183,61.599999999999994,7.5,4.1,37.5,30.799999999999997,26.3
7.27,1.13,0.219,63.0,1.0,3.7,39.0,31.5,25.7
6.57,0.41,0.397,53.2,5.2,3.6,43.0,26.6,28.6
5.61,0.91,0.956,60.4,5.7,3.8,54.0,30.2,26.2
6.94,1.26,0.547,66.6,6.0,3.9,42.0,33.3,28.1
6.72,1.35,0.567,62.4,6.4,3.4,46.0,31.2,26.3
7.21,1.36,0.29,59.6,6.9,3.4,53.0,29.8,25.5
6.965,1.355,0.4285,61.0,6.65,3.4,49.5,30.5,25.9
6.83,1.33,0.623,53.0,7.7,3.2,51.0,26.5,23.7
7.0,1.3425,0.39,57.4,7.2,2.8,47.0,28.7,23.7
6.79,1.32,0.653,66.8,7.6,2.9,55.0,33.4,23.7
7.85,1.18,0.702,55.0,6.8,3.0,52.0,27.5,23.7
6.12,1.54,0.477,58.0,7.2,3.3,44.0,29.0,23.7
6.56,1.44,0.806,57.4,7.6,3.4,41.0,28.7,23.7
6.34,1.44,0.6415,57.7,7.4,3.3499999999999996,42.5,28.85,23.7
6.93,1.46,0.738,59.6,6.9,3.9,44.0,29.8,23.7
6.5,1.67,0.196,59.8,6.8,4.2,39.0,29.9,23.7
6.25,1.66,0.481,59.6,7.5,4.4,39.0,29.8,25.5
6.92,1.74,0.214,73.9,12.3,4.4,35.0,36.9,24.9
8.79,1.61,0.275,78.8,10.9,4.9,30.0,39.4,26.2
7.64,1.59,0.295,76.4,11.7,4.8,35.0,38.2,24.3
8.215,1.6,0.28500000000000003,77.6,11.3,4.85,32.5,38.8,25.25
7.72,1.52,0.187,55.4,7.8,5.6,43.0,27.7,28.8
7.99,1.48,0.191,56.4,7.4,5.7,47.0,28.2,25.6
7.32,1.48,0.417,51.4,7.9,5.8,43.0,25.7,26.6
6.47,1.51,0.313,51.5,7.7,5.7,48.0,25.7,23.7
8.24,1.48,0.154,48.6,7.9,5.9,42.0,24.3,24.7
6.71,1.54,0.227,57.8,6.7,6.0,44.0,28.9,25.3
7.475,1.51,0.1905,53.2,7.300000000000001,5.95,43.0,26.6,25.0
6.93,1.47,0.182,61.8,6.2,7.1,40.0,30.9,26.7
7.4,1.48,0.181,62.8,7.9,7.2,50.0,31.4,24.5
7.05,1.45,0.281,58.0,7.5,6.8,38.0,29.0,23.8
6.54,1.46,0.184,58.0,7.3,7.7,39.0,29.0,24.9
6.39,1.47,0.154,59.4,7.8,7.6,29.0,29.6,25.6
7.08,1.41,0.356,54.4,8.2,7.9,35.0,27.3,27.9
6.734999999999999,1.37,0.255,56.9,8.0,7.75,32.0,28.450000000000003,26.75
7.07,1.43,0.263,54.6,7.9,8.9,36.0,27.3,27.2
7.07,1.49,0.174,55.2,8.1,9.1,33.0,27.6,25.6
6.52,1.66,0.152,57.3,8.3,9.3,34.0,28.6,27.1
7.1,1.31,0.142,58.5,8.1,9.8,35.0,29.2,26.1
7.73,1.24,0.128,60.8,8.9,9.9,30.0,30.4,24.3
7.37,1.23,0.138,62.8,8.4,9.9,46.0,31.4,26.3
7.550000000000001,1.2349999999999999,0.133,61.8,8.65,9.9,38.0,30.9,25.3
7.15,1.42,0.166,54.5,7.4,9.6,39.0,27.2,25.6
7.66,1.54,0.163,51.8,7.6,10.1,38.0,25.9,26.7
8.22,1.5,0.137,49.8,7.9,11.0,33.0,24.9,26.7
7.49,1.47,0.132,67.8,9.2,10.7,49.0,33.9,26.4
8.49,1.39,0.305,53.0,7.9,10.8,42.0,26.5,26.4
7.9,1.64,0.134,53.6,7.3,11.9,44.0,26.8,25.1
8.195,1.66,0.2195,53.3,7.6,11.350000000000001,43.0,26.65,25.75
6.84,1.66,0.0,56.2,7.7,11.8,39.0,28.1,25.4
6.64,1.67,0.094,58.2,7.2,11.4,32.0,29.1,26.8
7.1,1.7,0.167,54.6,7.0,11.9,32.0,27.3,27.1
6.79,1.71,0.083,55.6,7.1,11.4,34.0,27.8,26.1
7.3,1.68,0.079,61.6,7.8,11.5,32.0,31.1,26.5
7.23,1.6,0.117,57.6,7.8,11.2,34.0,28.8,28.8
7.265000000000001,1.7,0.098,59.6,7.8,11.35,33.0,29.950000000000003,27.65
8.29,1.7,0.113,57.4,7.0,10.6,31.0,28.7,27.5
7.59,1.62,0.091,60.0,7.5,10.2,27.0,30.0,27.9
8.61,1.33,0.096,57.9,7.8,9.9,28.0,28.1,28.7
8.37,1.37,0.209,55.5,5.8,9.8,29.0,27.7,27.6
8.38,1.39,0.121,58.4,6.3,9.9,40.0,29.2,28.3
8.27,1.3,0.107,52.2,7.0,10.0,31.0,26.1,26.1
8.325,1.345,0.11399999999999999,55.3,6.65,9.95,35.5,27.65,27.200000000000003
7.01,1.5,0.079,55.0,6.3,9.8,32.0,27.5,26.4
7.1,1.59,0.169,56.4,6.5,10.4,32.0,28.2,32.5
7.31,1.64,0.094,59.2,7.1,10.4,30.0,29.6,29.1
7.32,1.59,0.097,52.6,6.4,10.3,34.0,26.3,28.8
7.19,1.44,0.086,51.8,6.1,12.3,31.0,25.9,27.4
7.255000000000001,1.42,0.0915,52.2,6.25,11.3,32.5,26.1,28.1
7.84,1.36,0.138,60.0,6.575000000000001,12.5,33.0,30.0,26.9
7.57,1.39,0.266,57.8,6.9,13.1,27.0,28.9,28.4
7.99,1.23,0.307,58.4,5.7,13.4,32.0,29.2,28.5
7.78,1.31,0.2865,58.099999999999994,6.300000000000001,13.25,29.5,29.049999999999997,28.45
7.54,1.42,0.144,44.2,6.1,14.1,21.0,22.1,27.7
8.34,1.66,0.128,57.3,6.4,14.5,28.0,29.0,27.4
7.86,1.8,0.111,56.8,6.8,15.0,31.0,28.4,26.5
8.1,1.92,0.1195,57.05,6.6,14.75,29.5,28.7,26.95
7.93,1.64,0.112,58.4,7.1,15.5,32.0,29.2,25.2
7.91,1.35,0.141,57.2,6.9,15.6,24.0,28.6,26.9
6.34,1.6,0.28,65.6,3.1,15.6,28.0,32.8,23.2
8.01,1.55,0.109,64.8,7.1,15.7,25.0,32.4,27.0
6.87,1.7,0.152,61.6,6.8,15.6,28.0,30.8,25.2
8.78,1.62,0.101,69.0,8.1,16.0,27.0,34.5,25.2
7.824999999999999,1.6600000000000001,0.1265,65.3,7.449999999999999,15.8,27.5,32.65,25.2
8.87,1.88,0.083,58.7,7.8,16.1,26.0,29.3,23.4
7.22,2.0,0.125,60.4,7.1,16.5,32.0,30.4,27.5
8.02,1.86,0.086,60.4,8.1,16.8,27.0,30.2,26.3
8.83,1.81,0.131,70.3,8.3,17.4,26.0,35.1,22.0
8.46,1.8,0.095,57.4,8.6,17.6,32.0,28.7,22.7
8.0,1.84,0.091,58.2,7.1,17.7,29.0,29.1,23.6
8.23,1.82,0.093,57.8,7.85,17.65,30.5,28.9,23.15
7.57,1.86,0.086,59.9,7.4,17.7,27.0,29.9,22.9
7.52,1.82,0.07,57.2,7.9,17.6,26.0,28.6,24.2
7.84,1.54,0.082,56.8,7.7,17.4,31.0,28.4,24.7
7.74,1.6,0.082,51.0,7.9,17.2,32.0,25.5,25.8
7.55,1.95,0.097,57.8,8.3,17.2,27.0,28.9,24.8
